"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed"
"whole system",NA,NA,8,"prose","Indeed, ranking and rating are not just senseless—they are harmful. Reflecting the question posed on page 1, why should people [""work together""] (for the advant | Performance appraisal has been completely discarded: we do not use it. Growth and success are measured in other ways, and management doesn't look at an individu | So let's be clear about the purpose of this two-day project. In one sense it is ambitious, but not ridiculously so. In another sense it's quite limited: the pur",TRUE
"without understanding",NA,NA,8,"prose","One often sees shorter translations of those two little words: simply KAI = ""change"" and ZEN = ""good"". These miss the depth of the true meaning as expressed abo | > “ ... the harder they tried, the worse were the effects. … When anything bad occurred, they went to work on it to try to correct it. A noble aim. There was on | > “ ... they were failing to understand the difference between common causes and special causes, and that mixing them up makes things worse. ... Sure we don’t l",TRUE
"zag effect",NA,NA,8,"prose","**Rule 3**'s zig-zag effect is the complete opposite. (This is *negative* autocorrelation.) ""Zig-zag"" *means* up-down-up-down-up … : i.e. here the moving ranges | So, in both cases, compute the positions of the Central Line and control limits from the data over your chosen baseline and draw them in on your run chart. Now, | But, with our knowledge of what Rule 2 is, isn't that precisely what we would expect? Rule 2's compensation mechanism virtually ensures that particularly high v",TRUE
"Zero Defects",NA,NA,8,"prose","### 14. The fallacy of zero defects. | One evening (it was an evening course), the discussion topic was ""Zero Defects"". The gentleman teaching us was trying to motivate (provoke?) us by giving us exa | **Eliminate the use of slogans, posters, and exhortations** for the workforce, demanding Zero Defects and new levels of productivity without providing methods. ",TRUE
"zig zag effect",NA,NA,8,"prose","**Rule 3**'s zig-zag effect is the complete opposite. (This is *negative* autocorrelation.) ""Zig-zag"" *means* up-down-up-down-up … : i.e. here the moving ranges | So, in both cases, compute the positions of the Central Line and control limits from the data over your chosen baseline and draw them in on your run chart. Now, | But, with our knowledge of what Rule 2 is, isn't that precisely what we would expect? Rule 2's compensation mechanism virtually ensures that particularly high v",TRUE
"awarding business",NA,NA,7,"prose","**End the practice of awarding business solely on the basis of price tag.** Instead, require meaningful measures of quality along with price. Reduce the number  | Anyone who has been involved with the effects of awarding business on lowest price knows, through bitter experience, the huge additions to variation—and therefo | More generally, if things do not seem to be working well in some part of an organisation, what is it that ""feeds in"" to that part of the organisation that might",TRUE
"barriers between",NA,NA,7,"prose","The strong link here is wholly obvious. But note the implications concerning management style. Anything (and there is often much) that management does to erect  | The three items under ""Operational Definitions"" also have some interesting contributions to make. Item 7 is particularly important with reference to Point 9: ""B | **Break down barriers between departments and staff areas.** People in different areas, such as Research, Design, Sales, Administration, and Production, must wo",TRUE
"Bill Scherkenbach",NA,NA,7,"prose","Practically, surely the most important conclusion of all is that, if improvement is desired (as it should surely be), it is the *system* within which the worker | However, in my early days of studying Dr Deming’s work, I also found it useful to enjoy some lighter read- ing—I am sure the relevant authors will not object to | !Mack tells the story of Gallery Furniture for the first time at a Deming seminar on 12 July 1991, Washington DC. Also participating were three of his colleague",TRUE
"Bill Scherkenbach's",NA,NA,7,"prose","Rule 2 is the case where, as we know both from the Ford example and from your own work in the Major Activity, the situation is undesirable compared with Rule 1, | On page 2 Dr Deming claimed that, if we mix up the two types of variation, ""we only make things worse. This is easy to prove."" So let's prove it! Here is a well | !Mack tells the story of Gallery Furniture for the first time at a Deming seminar on 12 July 1991, Washington DC. Also participating were three of his colleague",TRUE
"Chief Inspector",NA,NA,7,"prose","After the delegates returned from their coffee-break on the Wednesday morning, Dr Deming briefly introduced the experiment. Then there was some pleasant humour  | 10 VACANCIES (educational requirements minimal) 1 RECORDER — able to write neatly and to perform simple arithmetic 1 CHIEF INSPECTOR — able to compare figures a | The Foreman then takes the paddle over to the Inspection Department, so that both the junior inspectors and the Chief Inspector can learn their jobs. Inspection",TRUE
"computed using",NA,NA,7,"prose","[] In this sort of case, the sample mean cannot really do a very good job of genuinely reflecting the typical kind of values being recorded: it will still be a  | The control limits (coloured blue) in those charts on page 19 were computed by the moving-range method (in both cases using all of the 24 data-points included o | Two charts side by side: Chart A1 (a stable process) and Chart A2 (an out-of-control process), each shown with control limits drawn in **magenta** — computed us",TRUE
"computing control",NA,NA,7,"prose","There is still more good news to come! The almost universally accepted way of computing control limits for control charts based on a-few-at-a-time data, i.e. us | As you know by now, I have always been quite keen on using computer simulation studies when faced with problems that are difficult or impossible to solve just b | Further, during Technical Aid 1 on , my introduction to that method for computing control limits was as follows (slightly paraphrased):",TRUE
"computing control limits",NA,NA,7,"prose","There is still more good news to come! The almost universally accepted way of computing control limits for control charts based on a-few-at-a-time data, i.e. us | As you know by now, I have always been quite keen on using computer simulation studies when faced with problems that are difficult or impossible to solve just b | Further, during Technical Aid 1 on , my introduction to that method for computing control limits was as follows (slightly paraphrased):",TRUE
"considerable time",NA,NA,7,"prose","The prime purpose of Day 3 as a whole is best summarised by the short title of Don Wheeler's excellent little book: *Understanding Variation*. So, looking forwa | People in the Western Electric Company at that time were heavily involved in the development of telephone technology and related equipment. They were investing  | Compared with what we now know about the matters which Dr Deming was teaching in Japan 30 years earlier, *If Japan Can, Why Can’t We*? had a strangely narrow em",TRUE
"conversion factor",NA,NA,7,"prose","However, as mentioned earlier, the theory underlying where we place the control limits relates to standard deviations rather than to any other type of measure o | So firstly let's take the issue that, because the constants we use to find our control limits have been computed by mathematicians after they assume the data co | was introduced on page 20 as the conversion factor by which a subgroup range needs to be divided in order to scale it down to a number which is comparable to th",TRUE
"current section",NA,NA,7,"prose","Since manual sampling is now effectively out of the question, we'll need to resort to computer simulations (and it won't be the last time in these Optional Extr | Those on Stats-level 0 can now move to that section almost immediately since the remainder of this current section consists of some Technical Aids and an Activi | As I was developing the current section of the course, I realised that the content of his series of short articles could be extremely valuable to *12 Days* stud",TRUE
"Dave Young",NA,NA,7,"prose","This Activity reminds me of an e-mail I received from my friend Dave Young after he had read through parts of this course while on holiday early in 2015 (there  | So almost everything that follows here has been told to me by friends who were only too happy to let me publish their stories. However, in some cases they were, | Dave Young showed me a couple of excellent comparisons between the two types of organisation chart that friends had suggested to him. First: ""The traditional or",TRUE
"Deming Cycle",NA,NA,7,"prose","As we know, Points 1 and 5 and the first Deadly Disease are concerned with genuine, sustained and sustainable improvement, and that most certainly is what the D | And this use of the word does not just apply to statisticians! In Deming’s mind, the very *purpose* of theory is to help guide better *practice*. And if a theor | First, you will have already read on *DemDim* page 35 that ""Topics which can be included under this general heading *Scientific Approach*"" take up a considerabl",TRUE
"Deming's System",NA,NA,7,"prose","Where are we now? We have just mentioned matters to do with psychology. ""Knowledge of Psychology"" is the fourth and final part of the System of Profound Knowled | As you know, these four Preludes respectively introduce some of the concepts in the four parts of Dr Deming's System of Profound Knowledge which you will study  | Much of both today and tomorrow is closely linked with our study of the 14 Points and Deadly Diseases, the learning from which, as we have seen, does not merely",TRUE
"Deming's teachings",NA,NA,7,"prose","I felt so sad that two of the most powerful concepts which had been inspired by Deming's teachings in Japan were being so horribly misinterpreted and implemente | Today, when I teach my students about how Dr Deming's teachings have been abused, I talk to them about the ""Six-Sigma Superstition"". I'm sure you'll love the wa | Now again, any acceptance of Shewhart's and Deming's teachings immediately leads to the denial of the conventional statistician's claims in both of these respec",TRUE
"Deming's theory",NA,NA,7,"prose","First, you will have already read on *DemDim* page 35 that ""Topics which can be included under this general heading *Scientific Approach*"" take up a considerabl | As you are well aware, we are learning about Dr Deming's theory of management. But, of course, as we discussed near the start, the purpose of that theory is to  | We shall spend most of today with the true story of Gallery Furniture, learning of a journey from ""bad practice"" to ""good practice"" based on Dr Deming's theory ",TRUE
"economic age",NA,NA,7,"prose","- Volume 1. *The New Economic Age*. - Volume 2. *The 14 Points*. - Volume 7. *The Red Bead Experiment and Life*. - Volume 8. *Lessons of the Red Bead Experiment | **Adopt the new philosophy. We are in a new economic age,** created in Japan. We can no longer live with commonly accepted levels of delays, mistakes, defective | Robert Reich, who was Secretary of Labour in Bill Clinton's administration, is featured in conversation with Dr Deming in the first two of the Deming Library vi",TRUE
"Elementary Statistics Tables",NA,NA,7,"prose","*EST*. Abbreviation for my *Elementary Statistics Tables* (see below). | NEAVE, H R, *Elementary Statistics Tables*. George Allen & Unwin (1981), Routledge (2nd edition 2011). | The tables and notation being included here are extracts from the table of control-chart constants on page 46 of *EST*, my book of *Elementary Statistics Tables",TRUE
"equally likely",NA,NA,7,"prose","How about a brief explanation of ""enumerative studies"" in my own words? As we shall see later, an introductory course on conventional Statistics often begins by | Many examples of probability calculations, both at the introductory stage and later, make use of considerations of *symmetry*, which is where all the various po | A typical way of verifying this (if you need one) is as follows. Suppose we label the coins A and B. Then there are *four* possible outcomes, all equally likely",TRUE
"extra material",NA,NA,7,"prose","On Days 2 and 3 and during parts of both of the projects, the emphasis was on understanding variation and why that is useful, and the role it plays in the impro | Assuming you do not have much or any background in conventional Statistics, this section will (like the first section) contain some words, terms and phrases wit | And lastly, if you are *really* keen to have a comprehensive introduction to control charts—going well beyond what is necessary for this course—there is the fai",TRUE
"final part",NA,NA,7,"prose","Regarding the final part of the question, I suggest the answers are simply (1) harmed it; (2) nothing or worse (lost opportunity); and (3) benefited it. | Where are we now? We have just mentioned matters to do with psychology. ""Knowledge of Psychology"" is the fourth and final part of the System of Profound Knowled | But don't misinterpret what I have said about conventional Statistics. It is a fascinating subject, and it is a very *useful* subject in many areas. Hopefully, ",TRUE
"first sentence",NA,NA,7,"prose","First, whereas training is very focused, ""education"" implies breadth—learning about other areas—and this often provides inspiration about what could be helpful  | This Point in particular needs reading beyond the first few words—including to the very end of the first sentence! Dr Deming was pretty scornful of mere ""slogan | However, it is worth briefly noting that the first sentence in the final quotation above explicitly refers us forward to no less than three of the four parts of",TRUE
"goes wrong",NA,NA,7,"prose","Let me relate a sad experience I had whilst visiting a very famous company in Pune. I came across a poster on the shop-floor which supposedly described KAIZEN.  | Let me tell you now what first really began to attract me seriously to Deming’s work. It wasn’t the statistical ideas (as you might have thought, because of my  | And what else? His philosophy of management is wholly *system*- or *process*-orientated. It sees things (including, very much, things to do with people) as full",TRUE
"hard work",NA,NA,7,"prose","If you are mathematically inclined, you might like to use the above criterion to verify the following alarming argument. Let's consider starting with the proces | Then recall the simple example on . I observed that changing the *average* of my process there would be very easy. And, in my experience, it is indeed very ofte | At this stage, the experiment was abruptly terminated. Despite everybody's hard work, and the Foreman's efforts to get improved performance out of his people, t",TRUE
"hypothesis tests",NA,NA,7,"prose","> Here’s a little exercise for the statisticians—all others should skip this small-print section. > > If you are keen on hypothesis tests, you might like to con | - Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | - Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev",TRUE
"institute leadership",NA,NA,7,"prose","## Point 7. Institute leadership of people *( )* | ## Point 7. Institute leadership of people | **Adopt and institute leadership aimed at helping people to do a better job.** The responsibility of managers and supervisors must be changed from sheer numbers",TRUE
"introductory Statistics",NA,NA,7,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | So I'd better try some brief explanations in my own words! ""Analytic studies"" are indeed what we have been involved with, particularly in the early days of *12  | If books and courses on Statistics were to make clear—maybe not using the same terms, but at least indicating the purpose and limitations—that what they include",TRUE
"junior inspectors",NA,NA,7,"prose","After the delegates returned from their coffee-break on the Wednesday morning, Dr Deming briefly introduced the experiment. Then there was some pleasant humour  | 10 VACANCIES (educational requirements minimal) 1 RECORDER — able to write neatly and to perform simple arithmetic 1 CHIEF INSPECTOR — able to compare figures a | Going by what they see, the delegates will more naturally identify with the ""All-Knowing"" role. The apparatus for the experiment is most surely ""stupidly simple",TRUE
"learning course",NA,NA,7,"prose","Why an ""Overture"" rather than an ""Introduction""? Simply because this half-day contains much more than you would expect in a mere introduction to this structured | The 12 Days to Deming Active Learning Course was created by Dr Henry Neave and first launched in 2020. The course has been adapted for the web by me, Lee Durbin | This section describes the various types of activities that make this course an active-learning course. Several of these, especially in the second half of the c",TRUE
"lifelong learning",NA,NA,7,"prose","And last, but definitely not least, here is by far the newest of all my recommendations: *The Essential Deming*, subtitled Leadership Principles from the Father | And lastly, the process of beginning to bring it all together—and making it happen—is the subject of our 12th and final day. And I must surely emphasise “beginn | Finally, on Day 12, we shall do a number of things to finally ""bring it all together""---at least as far as we can within the context of a course such as this. T",TRUE
"Lloyd Nelson's",NA,NA,7,"prose","So, returning to our version of the Funnel Experiment, if tampering doesn't do any good (to put it mildly), how might we really ""improve the process"", i.e. redu | In case that might be possible, let me tell you what I did in my seminars. As you will remember, Dr Nelson's original version of the experiment is rather tricky | (3) On *DemDim* pages 34–35 we saw Lloyd Nelson's statement about the importance of ""unknown and unknowable"" figures, followed by a number of illustrations. Spe",TRUE
"longer online",NA,NA,7,"prose","> *NB* The Deming Transformation Forum's website is no longer online. The linked 2012 archived snapshot is preserved here as a historical reference; the Booklet | Firstly, there are a number of references in this course to events that were organised by the BDA and to the substantial series of BDA Booklets that were writte | [^a]: On 6 July 1989 Dr Deming spoke at a meeting which was organised by the Association Française Edwards Deming and held at the Palace of Versailles. I was pr",TRUE
"main course",NA,NA,7,"prose","Secondly, the coverage of control charts during the main course included their use only with what I called ""one-at-a-time"" data, because that is all that is ava | However, as already mentioned, on looking further down the list of Contents there is little doubt that the title of Part D catches your eye! Why on Earth should | So please just pick and choose what, if anything, you read here in these Optional Extras. Or just browse through them and see if anything catches your eye. Mayb",TRUE
"management causes",NA,NA,7,"prose","It is evident that mobility of management increases variation; how could it do otherwise? In the case of a ""job-hopping"" culture as opposed to a learning cultur | It’s not surprising that there should have been such a change or development of emphasis in Dr Deming’s teaching in the late 1980s. An inevitable consequence of | **Mobility of management causes instability, results in decisions being made by people who do not know the business** *[i.e. this business]* **and thus blindly ",TRUE
"Management's Five Deadly Diseases",NA,NA,7,"prose","Here are some words from the video *Management's Five Deadly Diseases*. If you watched it earlier, I think you will remember them: | *Management's Five Deadly Diseases*. Encyclopaedia Britannica. | *Management's Five Deadly Diseases*:",TRUE
"manufacturing processes",NA,NA,7,"prose","Another great value of Don’s work is that, whereas it used to be the case that control charts were generally considered to require small *samples* of data to be | And there’s the difficulty. What kind of “terms and conditions” could possibly be specified that would apply in practice to data from processes of all the kinds | And so I think we now have several reasons to explain the paradox being considered. Why isn’t the control chart in most introductory (or even later) Statistics ",TRUE
"monthly sales",NA,NA,7,"prose","For illustration, imagine we have just launched a new product on the market, and consider how its monthly sales figures might develop and how the management mig | To keep things easy, I'll present the supposed monthly sales figures as simple whole numbers. For example, we might be rounding to the nearest 1,000 sales so th | A run chart of monthly sales figures, with months 1 to 3 on the x-axis and sales values on the y-axis. The line goes up sharply from 13 in Month 1 to 19 in Mont",TRUE
"never mind",NA,NA,7,"prose","But beware! If you read Part E of the Optional Extras you will find me referring on page 60 to the famous British statistician, the late Professor George Box, s | I'll ask you to look one more time at the Optional Extras, this time on page 49. Here we have the same pictures as you saw two pages earlier (page 47) but now w | Note in the diagrams that the area in either tail of the normal distribution beyond 3σ from the mean μ is 0.135%. (This is what led to the existence of the firs",TRUE
"new economic",NA,NA,7,"prose","- Volume 1. *The New Economic Age*. - Volume 2. *The 14 Points*. - Volume 7. *The Red Bead Experiment and Life*. - Volume 8. *Lessons of the Red Bead Experiment | **Adopt the new philosophy. We are in a new economic age,** created in Japan. We can no longer live with commonly accepted levels of delays, mistakes, defective | Robert Reich, who was Secretary of Labour in Bill Clinton's administration, is featured in conversation with Dr Deming in the first two of the Deming Library vi",TRUE
"new economic age",NA,NA,7,"prose","- Volume 1. *The New Economic Age*. - Volume 2. *The 14 Points*. - Volume 7. *The Red Bead Experiment and Life*. - Volume 8. *Lessons of the Red Bead Experiment | **Adopt the new philosophy. We are in a new economic age,** created in Japan. We can no longer live with commonly accepted levels of delays, mistakes, defective | Robert Reich, who was Secretary of Labour in Bill Clinton's administration, is featured in conversation with Dr Deming in the first two of the Deming Library vi",TRUE
"often referred",NA,NA,7,"prose","In connection with what is often referred to as the UK Government's ""hostile immigration environment"", Home Secretary Amber Rudd told the Home Affairs Select Co | Again let's look first at the short control charts of the two simulations. The second one does not appear to have anything much to tell us, but I suggest the fi | But, before that, it is worth making the intriguing and salutary point that Shewhart himself started out thinking that the subject *could* be developed from the",TRUE
"possible outcomes",NA,NA,7,"prose","As you know, **Rule 1** simply produces the unadulterated data coming from the underlying process of throwing the dice or, in Dr Nelson's original version of th | - Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev | Many examples of probability calculations, both at the introductory stage and later, make use of considerations of *symmetry*, which is where all the various po",TRUE
"possible values",NA,NA,7,"prose","Finally for this section, let's take a look at another example of a binomial distribution. Incidentally, as you may have realised, ""bi-nomial"" implies ""two name | Probability distributions divide themselves into two types depending on what kind of data they represent. So far, we have only been considering what we might ca | For example, in the discrete case our approach was to obtain approximations for the probabilities of each of the various possible values as the proportion of ti",TRUE
"pre Deming",NA,NA,7,"prose","To focus on the *learning* from the Gallery Furniture story, and to help you relate it to your own situation, I now ask you to carry out two similar exercises w | Finally, for the time being, work through the table one more time, now considering the comments you have made on both the ""Pre-Deming"" and ""Post-Deming"" sides o | ## ACTIVITY 6-b: ""Pre-Deming"" Gallery Furniture",TRUE
"process improvement",NA,NA,7,"prose","Less trivially, suppose the data alternately measure efficiency or productivity etc of both a day-shift and a night-shift. There could be many reasons for a zig | On the other hand, you may of course *wish* to learn a little more or even a lot more about control charts. In that case I’ll mention three possibilities which  | 3. One type of variation is inherent to the process and the circumstances in which it is being operated—the way it has been designed, built, set up, the way peo",TRUE
"production workers",NA,NA,7,"prose","Unfortunately, Quality Control Departments have taken the job of quality away from the people that can contribute most to quality—management, supervisors, manag | Some people make good use of computers. Few people are aware, however, of the negative input of computers. Time and time again, in my experience, when I ask for | > ""As the Ford group was touring the Tokai Rika plant, they observed eight production workers 'engaged in active discussion' around this Average and Range Chart",TRUE
"pulse rate",NA,NA,7,"prose","Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen | Your body temperature is an example of what I call a ""natural"" process. Its optimum value is said to be 98.4°F or 98.6°F, depending on the country in which you  | That may sound pessimistic! But is it? Can we predict with exact precision the output of any process, e.g. our pulse rate at any moment? No, we cannot. Nobody c",TRUE
"Quality Circles",NA,NA,7,"prose","- Introduction - *""… but they don't know what to copy!""* - Kaizen - Quality Circles - Just In Time - Six Sigma - Summary - Back to Deming's Legacy - India's Mis | I felt so sad that two of the most powerful concepts which had been inspired by Deming's teachings in Japan were being so horribly misinterpreted and implemente | ### Quality Circles",TRUE
"real data",NA,NA,7,"prose","And there’s the difficulty. What kind of “terms and conditions” could possibly be specified that would apply in practice to data from processes of all the kinds | After that final paragraph, those of you “in the know” will, I think, now begin to understand why “traditional” Mathematical Statisticians have tended to shy aw | No probabilities, no fancy theory, no assumptions about any particular probability distribution, etc—*experience*! Shewhart carried out a lot of experimentation",TRUE
"sales data",NA,NA,7,"prose","Even though these were not real sales figures, and this was not a real management team, do you think that this was a reasonable account of how management might  | Does the Ford example from earlier today (pages 5–6) suggest to you any concerns about the management's interpretation of yesterday's monthly sales data ( ), th | Furthermore, doesn't that type of management behaviour remind you of what you were doing yesterday when playing the part of the Foreman in the Red Beads Experim",TRUE
"sample size increases",NA,NA,7,"prose","[] Besides seeing the *shape* of the distribution developing from the histograms as the sample size increases and with the boxes becoming correspondingly narrow | There is one respect in which this statement can be confusing. Let's suppose the data are being drawn from a distribution having mean μ and standard deviation σ | The expression in the denominator of *Z* is the *standard deviation* of : this will be proved in the Technical Section on page 80. That expression is obviously ",TRUE
"Second Edition",NA,NA,7,"prose","As you know by now, I have always been quite keen on using computer simulation studies when faced with problems that are difficult or impossible to solve just b | But, with my background as a university lecturer in Mathematical Statistics, I didn’t realise any of the above when travelling to London in June 1985 for that f | Incidentally, the full title of *Statistics Tables is Statistics Tables for Mathematicians, Engineers, Economists and the Behavioural and Management Sciences* w",TRUE
"senior managers",NA,NA,7,"prose","> ""Over the nearly 20 years of my seminars on Dr Deming's teaching I rarely suffered from any 'difficult' delegates. The few that I had could be divided into tw | That comment might sound flippant. It isn’t. Over the nearly 20 years of my seminars on Dr Deming’s teaching I rarely suffered from having any “difficult” deleg | Some senior managers worry that heading toward ""All One Team"" might pose a threat to their authority. However, a further astute observation from Malcolm Gall is",TRUE
"shall study",NA,NA,7,"prose","When I met and began working with Dr Deming in 1985, besides the Red Beads Experiment the majority of the time in his four-day seminars involved his 14 Points ( | My friend Dave Kerr has presented the Red Beads Experiment numerous times. He has developed a short document which not only summarises some of the learning whic | That compares interestingly with the five ""Deadly Diseases"" of Western management (which we shall get to tomorrow). These are also well-covered in *Out of the C",TRUE
"short baseline",NA,NA,7,"prose","So yes, it is possible to have signals *within* the baseline period. Indeed, if you read Part A of these Optional Extras then you will have seen some on page 13 | But *why* does the probability of false alarms occurring within the baseline behave in the way shown? In particular, why is the probability actually *zero* with | There is one final type of control chart that I would like to mention to you. This takes us back to one-at-a-time data and is an interesting variant on the fami",TRUE
"simulation studies",NA,NA,7,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | So, whether or not you have a background in conventional Statistics, there you have many clues as to why much of the remaining content has been included within  | ## 2. Two simulation studies",TRUE
"single sentence",NA,NA,7,"prose","Let’s consider how a mathematician tackles his problems. It might appear ambitious to try to describe that in a single sentence, but here’s my attempt! Mathemat | What exactly did Dr Deming mean by a ""system""? On *The New Economics* page 35 *[50]* he provided this description: [""A system is a network of interdependent com | Most of the time in the previous section was spent on considering how to measure *variation* in subgrouped data. In case you skipped that section, I'll summaris",TRUE
"size increases",NA,NA,7,"prose","[] Besides seeing the *shape* of the distribution developing from the histograms as the sample size increases and with the boxes becoming correspondingly narrow | There is one respect in which this statement can be confusing. Let's suppose the data are being drawn from a distribution having mean μ and standard deviation σ | The expression in the denominator of *Z* is the *standard deviation* of : this will be proved in the Technical Section on page 80. That expression is obviously ",TRUE
"SPC Press Inc",NA,NA,7,"prose","*A Japanese Control Chart*. SPC Press Inc (1990). | SPC Press Inc (USA): | [^a]: Photo by courtesy of SPC Press Inc.",TRUE
"statistical studies",NA,NA,7,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | So, whether or not you have a background in conventional Statistics, there you have many clues as to why much of the remaining content has been included within  | ### Two types of ""statistical studies""",TRUE
"stop doing",NA,NA,7,"prose","But what do we see in the name of ""motivation"" these days? We get *extrinsic* motivation. Managers and others think that people get motivated by dangling a carr | This difference in understanding of purpose is fundamental. Deming’s life’s work was all about providing guidance for decisions and actions which will lead to i | An Obsession With Quality will surely result in quality being improved way beyond that which needs mass inspection to verify it. Notice again the words ""the nee",TRUE
"strongly recommend",NA,NA,7,"prose","Finally, particularly on Days 6, 8, 9 and 12, specific reference will be made to “your organisation”. Presumably, many people who work on this course are alread | At this time of writing, the video, an Encyclopaedia Britannica film, has been accessible for some years at www.youtube.com/watch?v=ehMAwIHGN0Y (note that the p | Now that you know what this Major Activity involves, I also strongly recommend that you take my advice on by reading through Mack's story once more before conti",TRUE
"target value",NA,NA,7,"prose","> ""As the Ford group was touring the Tokai Rika plant, they observed eight production workers 'engaged in active discussion' around this Average and Range Chart | > ""Points outside the limits are noted on September 25 and 26, 1980. Having noted that exceptional variation was present, they looked for the Assignable *[Speci | > "" ... 'abrasion on the positioning collar' is identified as the Assignable [Special] Cause for the process excursion noted in late September, 1980 ... in addi",TRUE
"The New Economics for Industry",NA,NA,7,"prose","DEMING W Edwards, *The New Economics for Industry, Government, Education*. Massachusetts Institute of Technology, Center for Advanced Engineering Study, Cambrid | This was documented by a very famous quantum physicist named Dr Fritjof Capra. He wrote extensively about this in his 2002 book: *The Hidden Connections*. There | As far as other books are concerned, I must of course begin with Dr Deming’s own famous *Out of the Crisis* (1986) and *The New Economics for Industry, Governme",TRUE
"throwing dice",NA,NA,7,"prose","except that the ""if""s are not usually emphasised as I have just done. Where do the ""if""s come from? In a subject like Mathematical Statistics they are quite lik | Here I am able to become the ""All-Knowing""—because I know where these data originated. In fact, if you happen to have a copy of the second edition of my *Elemen | If your data are typical of what you would get if you were just throwing dice (or using some other similarly ""random"" mechanism), what justification is there in",TRUE
"time order",NA,NA,7,"prose","Here again are the numbers of red beads from the experiment, now for convenience printed in time order as a single row rather than the layout in Dec's table: | A run chart of all 24 red-bead counts in time order, with no control limits yet. Most points lie between 6 and 12. Two points stand out from the rest: the value | Next, as I had to do when running the experiment for the statisticians, it's time for you to multi-task! You now take over as the Recorder and draw a run chart ",TRUE
"timing guidance",NA,NA,7,"prose","If you are following my timing guidance, the difference between Stats-level 0 (including 00, of course) and the rest creates a small problem: on both Days 2 and | I hope therefore that you will find pages 19–34 interesting to browse through now (so that you get some idea of what's there) but, more importantly, that they w | **NB** There will be no separation between Stats-levels 0 and Stats-levels 1–3 this afternoon, and so then the timing guidance will only be included on the righ",TRUE
"total number",NA,NA,7,"prose","The statisticians’ unusually low total number of red beads was 203. | The big general question to tackle now is as follows. If we denote the probabilities of Success or Failure at each trial by and respectively (where obviously ), | Consequently, the time has come for management to make an impact. A severe but objective appraisal of performance is instituted. At the end of the third week, t",TRUE
"Understanding Statistical",NA,NA,7,"prose","During Day 3 you were introduced to the ancient but valuable study by Don Wheeler of ""A Japanese Control Chart"": it is examined in some detail in Part B of the  | WHEELER D J and CHAMBERS D S, *Understanding Statistical Process Control*. SPC Press, Knoxville, TN (1985, 3rd edition 2010). | - Prelude A: Understanding a System - Prelude B: Understanding Statistical Thinking - Prelude C: Understanding Learning - Prelude D: Understanding People - Coda",TRUE
"vertical scale",NA,NA,7,"prose","Some control-charting computer packages include a picture of a histogram turned through 90° (so that its scale coincides with the control chart's vertical scale | The following run chart is based on some inspection data. Quoting from Dr Deming's account, it *""shows the daily record for two months of the proportion defecti | Would you say that this process is in statistical control? You might be wise enough to answer that you cannot be sure without inserting the control limits to up",TRUE
"vice versa",NA,NA,7,"prose","He was talking about the two obvious kinds of mistakes that can be made when analysing process data: i.e. concluding that a process is in statistical control wh | No probabilities, no fancy theory, no assumptions about any particular probability distribution, etc—*experience*! Shewhart carried out a lot of experimentation | **Rule 2** is yet another matter. Unusually, this overcompensation problem is often quite difficult to recognise by comparing run charts alone. There is some te",TRUE
"visible figures alone",NA,NA,7,"prose","**One can not be successful on visible figures alone. Of course, visible figures are important: the bank account must be watched, and employees and vendors must | **DISEASE 5.** [One cannot be successful on visible figures alone.] *(Day 5 pages 26--27.)* | When you have identified your system and its aim, think hard about, and identify, what can tell you whether or not you are successfully working toward that aim,",TRUE
"zig zags",NA,NA,7,"prose","The run chart for Simulation A's Rule 3 surprised me. I imagine it may also surprise you, assuming you had lots of fun and used games with Rule 3. In other word | There is now no zig-zags with Rule 4. Instead, Rule 4 usually just gently ""wanders around"" (mathematicians often refer to this as a ""random walk""). It may mostl | Sooner or later, however, the marble will finish up rather further away from the target than previously which will, in Rule 3's case, position the funnel at tha",TRUE
"acquiring knowledge",NA,NA,6,"prose","So this summarises the sequence of learning, of acquiring knowledge. Actually, we could even have begun the sequence one step earlier. Why did the little boy—or | ### ""A dynamic scientific process of acquiring knowledge"" | > ""The three steps constitute a dynamic scientific process of acquiring knowledge.""",TRUE
"active learning course",NA,NA,6,"prose","Why an ""Overture"" rather than an ""Introduction""? Simply because this half-day contains much more than you would expect in a mere introduction to this structured | The 12 Days to Deming Active Learning Course was created by Dr Henry Neave and first launched in 2020. The course has been adapted for the web by me, Lee Durbin | This section describes the various types of activities that make this course an active-learning course. Several of these, especially in the second half of the c",TRUE
