"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed","approved_fr","decision","reviewer_notes"
"learning process",,,8,"prose","Improvement of quality and productivity, to be successful in any company, must be a learning process, year by year, top management leading the whole company. | Well, if that is the case, this can be harmful in at least two ways. First: trying to be someone that you're not. Second: crushing your *natural* learning proce | So what should be done instead? As seniors—parents, teachers, managers—our real job is to *discover a person's natural learning process*. That person could be y",TRUE,,,
"left tfrac right",,,8,"prose","$$\begin \sigma^2 &= \left(0 - \tfrac \right)^2 \times \tfrac + \left(1 - \tfrac \right)^2 \times \tfrac + \left(2 - \tfrac \right)^2 \times \tfrac + \left(3 - ",TRUE,,,
"link between",,,8,"prose","Links to the Joiner Triangle are less direct in the case of Theory of Knowledge, but nonetheless they are still there. Consider my grouping of the issues into "" | So here, as pointed out at the very end of Prelude A, we have an immediate strong link between our first two Preludes. The salesman who lied to the customers an | - Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev",TRUE,,,
"long before",,,8,"prose","(b) With Scenario 1, obviously you won't be back there—either then or at any other time! With Scenario 3, you are very likely to be back there again: in fact, y | So the Japanese were already well-steeped in what Deming taught long before these practices came into existence, and thus they were able to develop the concepts | A couple of points of clarification will be useful here. Firstly, the original editions of these little books of Statistics Tables were published as long ago as",TRUE,,,
"long while ago",,,8,"prose","I know. I was educated as a mathematician. So I cringed at the very idea. I avoided teaching it. I was in print a long while ago describing Shewhart’s version o | - A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | Do you remember how to compute those natural process limits? Deming usually called them the ""control limits"". You may have to do it on Day 3. Day 3 may seem a l",TRUE,,,
"longer term",,,8,"prose","Rule 3's behaviour is clearly catastrophic—though did you suspect that such would be the case when (as recalled on the previous page) we may have initially rega | * Dr Deming’s focus was on the longer rather than the shorter term. If you are looking for the next short-term quick fix, this is the wrong place. Besides which | * He was concerned not with mere change but with transformation of Western style of management (his own term for it). * He was working toward the very best imag",TRUE,,,
"low variation",,,8,"prose","Whereas Rule 3's short control charts did not give much warning of the horrors to come, Rule 4's short charts immediately show conclusive evidence of severe pro | 1. Good quality of a product or service surely implies that it can be described in such terms as reliable, dependable, predictable—no nasty surprises. The quali | The volunteering Willing Workers are to be employed in the finishing stages of a complex and time-consuming manufacturing operation. Their task is well-defined,",TRUE,,,
"makes sense",,,8,"prose","Simply stated, the *aim* of a system is what the system tries to do. If we are designing a system then it makes obvious sense to first consider carefully what w | We tend to react to things as they appear before our eyes, in the here and now (rather similarly to drawing that tree, as described on the previous page). But s | As you are now well aware from Part D, since the normal distribution is a *continuous* distribution we cannot now sensibly consider probabilities of individual ",TRUE,,,
"management style",,,8,"prose","The strong link here is wholly obvious. But note the implications concerning management style. Anything (and there is often much) that management does to erect  | * He was concerned not with mere change but with transformation of Western style of management (his own term for it). * He was working toward the very best imag | 3. One type of variation is inherent to the process and the circumstances in which it is being operated—the way it has been designed, built, set up, the way peo",TRUE,,,
"many years",,,8,"prose","Many years ago the late Dr Myron Tribus, a respected consultant and speaker, took around with him some randomly-generated data, displayed in a format somewhat s | Many years ago, in the early 1970s, if people were diagnosed with high blood pressure, some research showed that this was often related to the blood containing  | As a relief from the possible gloom to do with diseases, obstacles, and the fact that many managers certainly do *not* regard the 14 Points as “Obligations”, on",TRUE,,,
"mentioned earlier",,,8,"prose","However, as mentioned earlier, the theory underlying where we place the control limits relates to standard deviations rather than to any other type of measure o | As mentioned earlier, the work standard is 50 items of production per worker per week. In order to help the workers precisely attain this standard, the Foreman  | As mentioned earlier, it is important to emphasise that this particular choice of σ does \emph apply to many other kinds of process data. A method that can be e",TRUE,,,
"move straight",,,8,"prose","I'll move straight on to **Rule 4** since that's the one you have dealt with most recently. The clue as to what happens to the control limits here follows direc | If you want to move straight on to finding out how to construct control charts for subgrouped data (without bothering to find out *why* the details are what the | There was a fairly full introduction to this simulation study on pages 63–64 and so I can now move straight into the details of the study.",TRUE,,,
"moving range method",,,8,"prose","That question was largely addressed in the ""How do we compute those control limits—and why?"" section beginning on Day 3 page 13. There we argued how moving rang | Then on Day 3 we studied the type of control chart more generally used to analyse one-at-a-time data: the moving-range method using the familiar number 2.66. On | How does the moving-range method achieve this? Let's consider the case where a fault occurs which raises the process average from what it was before. That fault",TRUE,,,
"my first",,,8,"prose","If you had a good teacher on conventional Statistics then, wholly unlike those delegates referred to at the bottom of the previous page, you may have become ver | My first direct contact with Dr Deming came in 1985, and in a wholly unexpected and very privileged fashion. In the Spring of that year, out of the blue I recei | That comment might sound flippant. It isn’t. Over the nearly 20 years of my seminars on Dr Deming’s teaching I rarely suffered from having any “difficult” deleg",TRUE,,,
"my organisation",,,8,"prose","One obvious possibility of how to start---and this will certainly be quick and easy---is for you to describe your immediate reaction(s) upon reading an item. Th | - Immediate reactions upon reading it (e.g. ""Really important"", ""I'm already familiar with this"", ""My organisation is doing the direct opposite to this"", ""Why i | So this is about what Dr Deming (amongst others) refers to as a ""system"" and describes as a ""network"". To illustrate this, William W Scherkenbach (a Director of",TRUE,,,
"Nashua Corporation",,,8,"prose","An example of expectation of quick results without effort and without sufficient education for the job is exemplified in a letter received by Dr Lloyd Nelson, s | ## The Deming Prize and the Nashua Corporation | In the 1970s, a medium-sized American company, the Nashua Corporation, was an agent for copying machines made by Ricoh, the well-known Japanese manufacturer. In",TRUE,,,
"now move",,,8,"prose","I appreciate that, at this stage, the standard deviation σ of a probability distribution may not mean a great deal to you! But its importance will become more a | There was a fairly full introduction to this simulation study on pages 63–64 and so I can now move straight into the details of the study. | Secondly, the fact that is an unbiased estimator of does *not* imply that is an unbiased estimator of . Unfortunate as it may be, the property of unbiasedness d",TRUE,,,
"numerical goals",,,8,"prose","Whichever figures we quote, the fact is that Deming’s thinking, as a natural consequence of Shewhart’s thinking on the two types of variation, leads to a vast c | **Eliminate work standards that prescribe quotas for the workforce and numerical goals for people in management.** Substitute aids and helpful leadership in ord | **NB** There may be a potential danger in using the summary on the previous page without clarification: it is a possible misunderstanding of the term ""work stan",TRUE,,,
"often used",,,8,"prose","But the links are stronger still. In one of my seminars I often used a slide which simply shows the Joiner Triangle with two words inscribed in the middle: ""Red | Then in 1982 a friend at Nashua here in the UK gave me a copy of the mimeographed book which Dr Deming was now issuing to all the delegates at his seminars. It  | Regarding videos, there were two quite well-known short British-made TV documentaries: *Doctor’s Orders* (produced by Central ITV in 1988) and *A Prophet Unhear",TRUE,,,
"only way",,,8,"prose","Since there is considerable discussion on the Funnel Experiment in *DemDim* Chapter 5 and also in both *Out of the Crisis* (pages 280–284 [327–332]) and *The Ne | Nevertheless, it could well be possible to see strong links between just this one aspect of Part D (let alone all the rest of it) and the need to adopt all the  | Let's sum up this little story. First, the more the boy was proved to be wrong, the more he learned. Every time he discovered he was wrong, it gave him the chan",TRUE,,,
"other types",,,8,"prose","Another great value of Don’s work is that, whereas it used to be the case that control charts were generally considered to require small *samples* of data to be | > ""Another great value of Don *[Wheeler]*'s books is that, whereas it used to be the case that control charts were generally considered to require small *sample | Actually, the good news is that, for the purpose of constructing and using control charts for a-few-at-a-time data, i.e. using *subgroups* rather than one-at-a-",TRUE,,,
"page Dr",,,8,"prose","On *The New Economics* page 36 *[51]*, Dr Deming included a suggestion for the aim of a system in which human beings are involved. It was [""for everybody to gai | On page 2 Dr Deming claimed that, if we mix up the two types of variation, ""we only make things worse. This is easy to prove."" So let's prove it! Here is a well | With even greater focus than the words I have quoted above, on *Out of the Crisis* page 84[99] Dr Deming expresses this Deadly Disease as ""Emphasis on short-ter",TRUE,,,
"page Dr Deming",,,8,"prose","On *The New Economics* page 36 *[51]*, Dr Deming included a suggestion for the aim of a system in which human beings are involved. It was [""for everybody to gai | On page 2 Dr Deming claimed that, if we mix up the two types of variation, ""we only make things worse. This is easy to prove."" So let's prove it! Here is a well | With even greater focus than the words I have quoted above, on *Out of the Crisis* page 84[99] Dr Deming expresses this Deadly Disease as ""Emphasis on short-ter",TRUE,,,
"page pages",,,8,"prose","Several further “profound messages” are to be found in the references provided earlier. But I shall content myself here with just one more. And this is (or shou | Firstly, there was the extract from *Out of the Crisis* page 286[pages 334–335] that I have just mentioned, and I make no apology for repeating part of the fina | Tomorrow, on Day 2, we shall describe and work with Dr Deming’s renowned “Experiment on the Red Beads”, performed (to the best of my knowledge) at every one of ",TRUE,,,
"pages Appendix page",,,8,"prose","**1. [Hope for instant pudding.] ** (*Out of the Crisis* pages 107–108[126–127]; Appendix page 32.) The ever-lasting search for the ""quick fix""! The term ""insta | **2. [The supposition that solving problems, automation, gadgets, and new machinery will transform industry.] ** (*Out of the Crisis* page 108 [pages 127–128];  | **5. [Obsolescence in Schools [i.e. Schools of Business].] ** (*Out of the Crisis* pages 110–111[130–131]; Appendix page 33.) On *Out of the Crisis* page 110[13",TRUE,,,
"particularly important",,,8,"prose","The three items under ""Operational Definitions"" also have some interesting contributions to make. Item 7 is particularly important with reference to Point 9: ""B | For a start, a particularly important issue which arose in Prelude C is that we are all born with the natural desire to learn. Dr Deming most certainly subscrib | On Days 2 and 3 and during parts of both of the projects, the emphasis was on understanding variation and why that is useful, and the role it plays in the impro",TRUE,,,
"people work",,,8,"prose","I venture to suggest that if just this one message coming from Dr Deming’s teaching were generally understood and appreciated then this world would be a better  | Indeed, ranking and rating are not just senseless—they are harmful. Reflecting the question posed on page 1, why should people [""work together""] (for the advant | So, as we shall see on the next page, in *The New Economics* Dr Deming said that our need is to [""restore the individual, and do so in the complexities of inter",TRUE,,,
"POINT Adopt",,,8,"prose","**POINT 2.** [Adopt the new philosophy. We are in a new economic age, created in Japan.] *(Day 4 pages 18--19.)* | **POINT 7.** [Adopt and institute leadership aimed at helping people to do a better job.] *(Day 5 pages 2--3.)*",TRUE,,,
"pretty well",,,8,"prose","That question was largely addressed in the ""How do we compute those control limits—and why?"" section beginning on Day 3 page 13. There we argued how moving rang | To give you some idea of the accuracy of these various approximations, I have also computed these probabilities directly from the exact expression for binomial  | However, *all* we see in the main material of this course that is related to the subject of Statistics is what I like to summarise in just two words: “understan",TRUE,,,
"Process Control",,,8,"prose","My great friend Don Wheeler (from whom I've learned so much over the years) told me about a family of probability distributions that was studied by Irving W Bur | During Day 3 you were introduced to the ancient but valuable study by Don Wheeler of ""A Japanese Control Chart"": it is examined in some detail in Part B of the  | WHEELER D J, *Advanced Topics in Statistical Process Control*. SPC Press, Knoxville, TN (2005).",TRUE,,,
"properly centred",,,8,"prose","Sadly, my enthusiasm was short-lived. First, I soon came across some advisors who were extolling the virtue of ""six-sigma"" quality as being the greater freedom  | Now, if a process having ""six-sigma"" quality is properly centred, the relevant figure from the table is the final one, the 0.000000000987—except that there are  | I'll just quote a few figures. First, actually now having a ""six-sigma"" process *properly centred*. Recall that the normal distribution tells us that then there",TRUE,,,
"provide jobs",,,8,"prose","A left-to-right chain of five linked boxes showing Deming's Chain Reaction. **Improve processes and product** leads to **Costs decrease**, which leads to **Capt | **Create constancy of purpose for continual improvement of products and service,** allocating resources to provide for long-range needs rather than only short-t | Notice the connection with the Deming Chain Reaction, finishing up (as in both versions of the Chain Reaction—see the bottom of page 3) with ""provide jobs"". We ",TRUE,,,
"range method",,,8,"prose","That question was largely addressed in the ""How do we compute those control limits—and why?"" section beginning on Day 3 page 13. There we argued how moving rang | Then on Day 3 we studied the type of control chart more generally used to analyse one-at-a-time data: the moving-range method using the familiar number 2.66. On | How does the moving-range method achieve this? Let's consider the case where a fault occurs which raises the process average from what it was before. That fault",TRUE,,,
"rather different",,,8,"prose","We began with what I described there as ""quite familiar ground"": the histogram. And, of course, to an extent, it was. But when the histogram was introduced earl | As we have seen in the crash-course and would soon be seen in the introductory conventional Statistics course, one common way of describing the data is in terms | So it did all start with some new statistical thinking and methods in a manufacturing context. Regrettably, a few generations later, some people still seem to t",TRUE,,,
"re read",,,8,"prose","Dr Deming was once asked: ""What is the job of a teacher?"". He replied that a teacher has three obligations to his students: (1) to make them fall in love with t | Now comes the time for you to get some practice at playing the role of the Foreman! Remember that the Foreman (pretends that he) is in the Un-Knowing state—typi | Nowadays, as I re-read my comments on the 14 Points in *DemDim* Chapter 3, which are largely based on those which I included in my earlier materials, it is almo",TRUE,,,
"really important",,,8,"prose","The prime purpose of Day 3 as a whole is best summarised by the short title of Don Wheeler's excellent little book: *Understanding Variation*. So, looking forwa | So he regarded getting into some training, even on something as vital as the construction of control charts, would be inappropriate during his teaching—it would | [my italics]. There you are—that’s where this section’s heading came from: his own diary. Deming was content, on this occasion and presumably others, to leave t",TRUE,,,
"red bead",,,8,"prose","- Volume 1. *The New Economic Age*. - Volume 2. *The 14 Points*. - Volume 7. *The Red Bead Experiment and Life*. - Volume 8. *Lessons of the Red Bead Experiment | In fact, in this case, a further approximation has been made. If you think about it you will realise that the number of red beads in the paddle *cannot* be exac | !Handwritten results table for six Willing Workers (Ernie, Iggy, Richard, Martin, Andrew, Pat) showing red bead counts across four weeks, with weekly totals dec",TRUE,,,
"referring back",,,8,"prose","So, in shorthand, how can we compute for ? Referring back to those early pages of Part D, there are two steps in this computation: one is easy but the other one | Finally, as promised on page 89, let's see how probabilities for binomial distributions with larger ( in the case of both *EST* and *ST*) than contained in your | Referring back to my comment on the reverse of today's ID page, the distortion was particularly bad on this recruitment advertisement. Indeed in this case even ",TRUE,,,
"Reveal suggested",,,8,"prose","Reveal suggested answer for Pause for Thought 1-a | Reveal suggested answer for Pause for Thought 2-a | Reveal suggested answer for Activity 3-a",TRUE,,,
"Reveal suggested answer",,,8,"prose","Reveal suggested answer for Pause for Thought 1-a | Reveal suggested answer for Pause for Thought 2-a | Reveal suggested answer for Activity 3-a",TRUE,,,
"right times",,,8,"prose","$$\begin \sigma^2 &= \left(0 - \tfrac \right)^2 \times \tfrac + \left(1 - \tfrac \right)^2 \times \tfrac + \left(2 - \tfrac \right)^2 \times \tfrac + \left(3 - ",TRUE,,,
"right times tfrac",,,8,"prose","$$\begin \sigma^2 &= \left(0 - \tfrac \right)^2 \times \tfrac + \left(1 - \tfrac \right)^2 \times \tfrac + \left(2 - \tfrac \right)^2 \times \tfrac + \left(3 - ",TRUE,,,
"same way",,,8,"prose","Clearly, if we knew the value of , it would have made sense to use it in the expression for the sample variance rather than . is there because, in general, we * | However, to conclude here, there was yet another example of the use of an unbiased estimator in Part B of these Optional Extras: see page 20. It was adjustment  | [] In this sort of case, the sample mean cannot really do a very good job of genuinely reflecting the typical kind of values being recorded: it will still be a ",TRUE,,,
"sample mean",,,8,"prose","- Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev | That link between the picture of the probabilities and the histograms as the amount of sampling increases has its parallel with the sample statistics. Let's con | Let's take another look at the calculations of the sample mean at the end of the previous section. You saw that we finished up writing them like this:",TRUE,,,
"sample sizes",,,8,"prose","> Here’s a little exercise for the statisticians—all others should skip this small-print section. > > If you are keen on hypothesis tests, you might like to con | [] Besides seeing the *shape* of the distribution developing from the histograms as the sample size increases and with the boxes becoming correspondingly narrow | Of course, usually our sample sizes *n* are rather small compared with "" ""! But what makes the Central Limit Theorem even more attractive is that, almost always",TRUE,,,
"short termism",,,8,"prose","## Disease 2. Short-termism *( )* | When you think of the many contributors needed to develop real quality in whatever you are doing, there is one common requirement: *time*! Time to learn, time t | All One Team includes development of personal relationships, learning to work together, learning to help each other for mutual benefit and the benefit of the co",TRUE,,,
"silly game",,,8,"prose","To carry out Day 3's experiment does not actually need any ""previous knowledge"": previous knowledge is only involved with *interpreting* the results from the ex | As with the Experiment on Red Beads, the Funnel Experiment may just look like a rather silly game when you are introduced to it. Hopefully, like the Red Beads E | - a funnel, - a marble which is small enough to pass through the funnel, - a table, exactly horizontal and covered by a thick tablecloth ... - ... on which is m",TRUE,,,
"slow learner",,,8,"prose","| Worker | Remark | |---|---| | Audrey’s 6 | “You’re a slow learner. But I’m proud of you.” | | John’s 10 | “Very consistent. Consistently bad.” | | Al’s 11 | “ | Further, in Prelude A we saw some of the difficulties and indeed harm caused by ranking and rating. And now we surely see yet more. As there are so many differe | As we have seen, Week 2 began with that disappointing performance by Ernie. In retrospect, the explanation was clear. Ernie had shown up all of his workmates du",TRUE,,,
"small number",,,8,"prose","On the other hand, you may of course *wish* to learn a little more or even a lot more about control charts. In that case I’ll mention three possibilities which  | On your return from the Appendix, now spend a little time organising your notes into a small number of groups or categories, i.e. each containing somewhat relat | ""BT has been forced to pay the Ministry of Defence £1.3m in compensation after some of its staff met call-answering targets by phoning each other. The National ",TRUE,,,
"soon after",,,8,"prose","- Variation produces undesirable differences both internally and externally. Both are bad for the organisation concerned. As just observed, variation within pro | So it did all start with some new statistical thinking and methods in a manufacturing context. Regrettably, a few generations later, some people still seem to t | 48-point control chart for Process B (number of Heads when coins are tossed). The first ~38 points fluctuate quietly inside the limits. From around Point 39 the",TRUE,,,
"square root",,,8,"prose","(d) take the *square root* of the result. | (d) the square root of 0.158 = √0.158 = 0.397. | The answer to the first pair of questions is that, quite simply, despite being easier and quicker for you and me to calculate, the MAD turns out to be very awkw",TRUE,,,
"Statistical Process Control",,,8,"prose","My great friend Don Wheeler (from whom I've learned so much over the years) told me about a family of probability distributions that was studied by Irving W Bur | During Day 3 you were introduced to the ancient but valuable study by Don Wheeler of ""A Japanese Control Chart"": it is examined in some detail in Part B of the  | WHEELER D J, *Advanced Topics in Statistical Process Control*. SPC Press, Knoxville, TN (2005).",TRUE,,,
"statistical techniques",,,8,"prose","Less trivially, suppose the data alternately measure efficiency or productivity etc of both a day-shift and a night-shift. There could be many reasons for a zig | Now let's move on to the second computer simulation. This was to examine the claim made by some Mathematical Statisticians that, if the data to be plotted on a  | So he regarded getting into some training, even on something as vital as the construction of control charts, would be inappropriate during his teaching—it would",TRUE,,,
"Statistics course",,,8,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | So I'd better try some brief explanations in my own words! ""Analytic studies"" are indeed what we have been involved with, particularly in the early days of *12  | ### A typical syllabus for an introductory Statistics course",TRUE,,,
"Statistics courses",,,8,"prose","But now let us return to the first paradox summarised on : the apparently strange matter of neither the all-important tool of the control chart nor its creator, | I am tackling the first paradox here rather than in the main text because I do need to refer to matters covered in the usual kind of Statistics courses. If you  | And there’s the difficulty. What kind of “terms and conditions” could possibly be specified that would apply in practice to data from processes of all the kinds",TRUE,,,
"Step DemDim",,,8,"prose","### Step 3: *DemDim* version | **Step 3: *DemDim* version** | #### Area 1, Step 3: *DemDim* version",TRUE,,,
"Step DemDim version",,,8,"prose","### Step 3: *DemDim* version | **Step 3: *DemDim* version** | #### Area 1, Step 3: *DemDim* version",TRUE,,,
"study group",,,8,"prose","But a lot of other stuff that Deming had written did appeal to me, so I rather set aside that business about the two types of statistical studies and read about | Wishing to learn more about Dr Deming and his teaching, I participated in a study group hosted by the Geelong Quality Council in early 2024. This was my introdu | After completing the 12 Days to Deming course via the study group, I reflected on my learning experiences and thought about how it might be improved for future ",TRUE,,,
"subgrouped data",,,8,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | If you want to move straight on to finding out how to construct control charts for subgrouped data (without bothering to find out *why* the details are what the | ## 3. Control charts for subgrouped data",TRUE,,,
"suggested answer",,,8,"prose","Reveal suggested answer for Pause for Thought 1-a | Reveal suggested answer for Pause for Thought 2-a | Reveal suggested answer for Activity 3-a",TRUE,,,
"System flow diagram",,,8,"prose","I would describe what I have included in this morning's material as just sketching a background, rather like an artist's very broad brush-strokes at the earlies | Why did it finish up there? Simply because at the time of writing *DemDim* (1989–90), although realising the topic was important, I had not realised how *overwh | !Deming's ""Organisation Viewed as a System"" flow diagram",TRUE,,,
"system within",,,8,"prose","Practically, surely the most important conclusion of all is that, if improvement is desired (as it should surely be), it is the *system* within which the worker | When a process is performing ""within limits"", it is essentially the *process* which is producing the results. But nevertheless, even when this is the case, peop | And what else? His philosophy of management is wholly *system*- or *process*-orientated. It sees things (including, very much, things to do with people) as full",TRUE,,,
"target culture",,,8,"prose","During these last few years it is notable that, at long last, some attitudes about targets seem to be changing. It was in 2012 that, in a BBC radio interview, I | Here we have the topic that used to be regarded as probably the most controversial of all of the 14 Points (other than Point 12 if that is incorrectly regarded  | However, despite getting into such sad short stories toward the end of today's material, I promise you that we'll finish on what I found to be a very positive n",TRUE,,,
"target value",,,8,"prose","> ""As the Ford group was touring the Tokai Rika plant, they observed eight production workers 'engaged in active discussion' around this Average and Range Chart | > ""Points outside the limits are noted on September 25 and 26, 1980. Having noted that exceptional variation was present, they looked for the Assignable *[Speci | This is not an exact analogy with the Ford example because, in that case, there was an ""ideal"" or ""target"" value, and the compensation device acted according to",TRUE,,,
"tfrac right",,,8,"prose","$$\begin \sigma^2 &= \left(0 - \tfrac \right)^2 \times \tfrac + \left(1 - \tfrac \right)^2 \times \tfrac + \left(2 - \tfrac \right)^2 \times \tfrac + \left(3 - ",TRUE,,,
"tfrac right times",,,8,"prose","$$\begin \sigma^2 &= \left(0 - \tfrac \right)^2 \times \tfrac + \left(1 - \tfrac \right)^2 \times \tfrac + \left(2 - \tfrac \right)^2 \times \tfrac + \left(3 - ",TRUE,,,
"too little",,,8,"prose","At least, I imagine it startled you at the time: it has that effect on most people. Hardly surprising. Many regard competition as the salvation, the panacea, fo | [*The quality of the* **measurement process** *itself seems to be too little considered by conventional statisticians, let alone non-statisticians. The numbers  | ### Too much time, too little time",TRUE,,,
"Transformation Forum",,,8,"prose","^a^ (page 10) This quotation from the Deming A5 Booklet W2 (formally BDA Booklet W2) has been reproduced with the approval of the Deming Transformation Forum. | BDA BOOKLETS (now known as the Deming A5 Booklets and obtainable from the UK Deming Transformation Forum—see the ""Internet contacts"" section). | *The Deming Library*. Films Inc, Chicago. (Contact WEDI or the UK Deming Transformation Forum.)",TRUE,,,
"Type your comment here.",,,8,"ui","./content/days/day-02/07-some-recollections.qmd",TRUE,,,
"understand variation",,,8,"prose","In Point 6 we observed that the Scientific Approach is certainly tied in with *training*, because of its tools content. But we know that this is the smaller par | Failure to understand variation in tests delayed some years the science of genetics. Ratios of (e.g.) tall and dwarf peas varied wildly below and above nature's | The prime purpose of Day 3 as a whole is best summarised by the short title of Don Wheeler's excellent little book: *Understanding Variation*. So, looking forwa",TRUE,,,
"Welcome section",,,8,"prose","As mentioned near the end of the “Welcome” section, this is the reference list of preparatory tasks recommended for you to carry out between the different days  | Also in America, SPC Press Inc ( ), who published my book *The Deming Dimension* in 1990 (see pages 12–13 in the Welcome section of file A. PLEASE START HERE),  | A couple of points of clarification will be useful here. Firstly, the original editions of these little books of Statistics Tables were published as long ago as",TRUE,,,
"while ago",,,8,"prose","I know. I was educated as a mathematician. So I cringed at the very idea. I avoided teaching it. I was in print a long while ago describing Shewhart’s version o | - A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | Do you remember how to compute those natural process limits? Deming usually called them the ""control limits"". You may have to do it on Day 3. Day 3 may seem a l",TRUE,,,
"whole system",,,8,"prose","Indeed, ranking and rating are not just senseless—they are harmful. Reflecting the question posed on page 1, why should people [""work together""] (for the advant | Performance appraisal has been completely discarded: we do not use it. Growth and success are measured in other ways, and management doesn't look at an individu | So let's be clear about the purpose of this two-day project. In one sense it is ambitious, but not ridiculously so. In another sense it's quite limited: the pur",TRUE,,,
"without understanding",,,8,"prose","One often sees shorter translations of those two little words: simply KAI = ""change"" and ZEN = ""good"". These miss the depth of the true meaning as expressed abo | > “ ... the harder they tried, the worse were the effects. … When anything bad occurred, they went to work on it to try to correct it. A noble aim. There was on | > “ ... they were failing to understand the difference between common causes and special causes, and that mixing them up makes things worse. ... Sure we don’t l",TRUE,,,
"years after",,,8,"prose","And last, but definitely not least, here is by far the newest of all my recommendations: *The Essential Deming*, subtitled Leadership Principles from the Father | Just room for one more on computers, 34 years after Mr Watson’s above. This was from Ken Olsen, President, Chairman and Founder of the Digital Equipment Corpora | Dr Deming’s involvement with the Nashua Corporation began just early enough to become known to the NBC television producer, Clare Crawford-Mason, in time for he",TRUE,,,
"you'd like",,,8,"prose","As mentioned in the main text, if you'd like to examine the actual control charts discussed here, take some ""time out"" to read through Part A of the Optional Ex | So the original readers, like Balaji, of the seventh article were already familiar with the previous six articles—whereas you, of course, are not. Alternatively | If you'd like to examine this period by drawing the *X̄-R* chart on the graph-paper below, you will see that the process remained in control during this time, a",TRUE,,,
"Zero Defects",,,8,"prose","### 14. The fallacy of zero defects. | One evening (it was an evening course), the discussion topic was ""Zero Defects"". The gentleman teaching us was trying to motivate (provoke?) us by giving us exa | **Eliminate the use of slogans, posters, and exhortations** for the workforce, demanding Zero Defects and new levels of productivity without providing methods. ",TRUE,,,
"after each",,,7,"prose","Then recall the simple example on . I observed that changing the *average* of my process there would be very easy. And, in my experience, it is indeed very ofte | > This recalls the occasion when a delegate came up to me with tears of gratitude after I had emphasised this point in the seminar. Her company had installed so | One obvious possibility of how to start---and this will certainly be quick and easy---is for you to describe your immediate reaction(s) upon reading an item. Th",TRUE,,,
"another example",,,7,"prose","As a consequence of its interconnectedness, it is important to realise that we cannot hope to understand a system by simply breaking it down into its separate c | Here is another example of knee-jerk reactions: hastily-made decisions based on what has just occurred without consideration of why: | Finally for this section, let's take a look at another example of a binomial distribution. Incidentally, as you may have realised, ""bi-nomial"" implies ""two name",TRUE,,,
"asked him",,,7,"prose","Let me relate a sad experience I had whilst visiting a very famous company in Pune. I came across a poster on the shop-floor which supposedly described KAIZEN.  | In 1974, a famous organisation in India was tying up with a Japanese company for exchange of technology and know-how. To impress the Japanese, the then-leader o | I well remember the occasion when I was one of a group of some 50 people enjoying a study weekend with Dr Deming at the Ashridge Management College in the UK, i",TRUE,,,
"awarding business",,,7,"prose","**End the practice of awarding business solely on the basis of price tag.** Instead, require meaningful measures of quality along with price. Reduce the number  | Anyone who has been involved with the effects of awarding business on lowest price knows, through bitter experience, the huge additions to variation—and therefo | More generally, if things do not seem to be working well in some part of an organisation, what is it that ""feeds in"" to that part of the organisation that might",TRUE,,,
"bad practice",,,7,"prose","Before we begin, a few words about the nature and purpose of the Funnel Experiment, some of which you will recognise as having been just as relevant to the Red  | We shall spend most of today with the true story of Gallery Furniture, learning of a journey from ""bad practice"" to ""good practice"" based on Dr Deming's theory  | Mack was so right. Great care must be exercised in disposing of anything that has become ""the way we do things round here"". Although you and others may now be g",TRUE,,,
"bad practices",,,7,"prose","Before we begin, a few words about the nature and purpose of the Funnel Experiment, some of which you will recognise as having been just as relevant to the Red  | So it might have seemed illogical for me to then spend virtually the whole of yesterday telling you about bad practices rather than *good* ones! But there were  | As described near the beginning of the course, this overall structure largely reflects the way that the four-day seminars developed during the second half of th",TRUE,,,
"bar times",,,7,"prose","$$ \bar = 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac \quad\text \quad \bar = 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac . $$ | $$ \bar = 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac . $$ | $$ \begin \bar &= 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac = 0.800, \\ \bar &= 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac = 0.930, \\ \bar &",TRUE,,,
